Epoch,Accuracy,Loss,Rate
0,0.424242437,1.27961576,0.000999945
1,0.530303001,1.102162361,0.000999778
2,0.484848499,0.939028323,0.0009995
3,0.590909064,0.877001405,0.000999112
4,0.575757563,0.73957485,0.000998613
5,0.606060624,0.643422127,0.000998003
6,0.575757563,0.597823441,0.000997282
7,0.590909064,0.491752505,0.000996452
8,0.621212125,0.403026789,0.000995511
9,0.606060624,0.401013136,0.00099446
10,0.606060624,0.318132818,0.000993299
11,0.606060624,0.330913544,0.000992029
12,0.621212125,0.306133032,0.00099065
13,0.621212125,0.296959192,0.000989163
14,0.606060624,0.230415881,0.000987566
15,0.666666687,0.257791549,0.000985862
16,0.606060624,0.236810178,0.000984051
17,0.636363626,0.205114111,0.000982132
18,0.636363626,0.257656306,0.000980107
19,0.606060624,0.183447957,0.000977975
20,0.590909064,0.193958655,0.000975738
21,0.636363626,0.143695518,0.000973396
22,0.621212125,0.183343217,0.00097095
23,0.606060624,0.161169142,0.000968399
24,0.590909064,0.187474415,0.000965746
25,0.636363626,0.143830404,0.00096299
26,0.621212125,0.171192035,0.000960131
27,0.621212125,0.126844659,0.000957172
28,0.606060624,0.161656946,0.000954112
29,0.621212125,0.124397598,0.000950953
30,0.606060624,0.171247333,0.000947695
31,0.621212125,0.178678647,0.000944338
32,0.606060624,0.144053921,0.000940884
33,0.590909064,0.149042323,0.000937334
34,0.590909064,0.104493201,0.000933688
35,0.560606062,0.128491536,0.000929948
36,0.621212125,0.109703861,0.000926113
37,0.606060624,0.103938185,0.000922186
38,0.636363626,0.087509006,0.000918167
39,0.621212125,0.081967391,0.000914058
40,0.575757563,0.074249446,0.000909858
41,0.560606062,0.177835241,0.00090557
42,0.545454562,0.082932562,0.000901194
43,0.575757563,0.131787106,0.000896731
44,0.575757563,0.123969488,0.000892183
45,0.560606062,0.094969876,0.00088755
46,0.590909064,0.133254901,0.000882834
47,0.545454562,0.089276254,0.000878036
48,0.575757563,0.076014355,0.000873157
49,0.606060624,0.151586577,0.000868198
50,0.590909064,0.05691608,0.000863161
51,0.575757563,0.071717165,0.000858046
52,0.606060624,0.109761029,0.000852856
53,0.621212125,0.086861514,0.00084759
54,0.621212125,0.088099398,0.000842252
55,0.606060624,0.08376155,0.000836841
56,0.575757563,0.098385535,0.000831359
57,0.575757563,0.103133105,0.000825808
58,0.606060624,0.046320997,0.000820189
59,0.636363626,0.088976294,0.000814503
60,0.606060624,0.070359327,0.000808752
61,0.621212125,0.079260536,0.000802938
62,0.621212125,0.066876926,0.00079706
63,0.621212125,0.102671295,0.000791122
64,0.636363626,0.080225311,0.000785124
65,0.636363626,0.075336419,0.000779069
66,0.621212125,0.077814929,0.000772956
67,0.636363626,0.055296954,0.000766789
68,0.621212125,0.057453766,0.000760568
69,0.621212125,0.109524056,0.000754296
70,0.636363626,0.064000435,0.000747973
71,0.606060624,0.068813302,0.000741601
72,0.606060624,0.110575967,0.000735181
73,0.636363626,0.088462912,0.000728717
74,0.590909064,0.07988406,0.000722208
75,0.590909064,0.080513962,0.000715656
76,0.636363626,0.053286482,0.000709064
77,0.575757563,0.06772361,0.000702432
78,0.636363626,0.044999413,0.000695763
79,0.651515126,0.085192829,0.000689058
80,0.621212125,0.108947374,0.000682318
81,0.636363626,0.054393873,0.000675546
82,0.621212125,0.082639068,0.000668743
83,0.636363626,0.04814129,0.00066191
84,0.606060624,0.050432794,0.00065505
85,0.606060624,0.050364587,0.000648164
86,0.606060624,0.082829796,0.000641254
87,0.621212125,0.069505721,0.000634322
88,0.621212125,0.086292796,0.000627368
89,0.636363626,0.107882239,0.000620396
90,0.621212125,0.046403904,0.000613406
91,0.621212125,0.085346162,0.0006064
92,0.590909064,0.066282131,0.00059938
93,0.606060624,0.045889225,0.000592349
94,0.575757563,0.106378846,0.000585307
95,0.606060624,0.034430917,0.000578256
96,0.621212125,0.053069942,0.000571198
97,0.621212125,0.082335792,0.000564135
98,0.606060624,0.090323389,0.000557068
99,0.636363626,0.047062974,0.00055
100,0.666666687,0.09829808,0.000542932
101,0.621212125,0.053656626,0.000535865
102,0.636363626,0.067692205,0.000528802
103,0.621212125,0.080327496,0.000521744
104,0.621212125,0.03630266,0.000514693
105,0.621212125,0.033648979,0.000507651
106,0.606060624,0.08106827,0.00050062
107,0.621212125,0.051087089,0.0004936
108,0.621212125,0.07993488,0.000486594
109,0.636363626,0.027716629,0.000479604
110,0.606060624,0.062891781,0.000472632
111,0.606060624,0.038362175,0.000465678
112,0.545454562,0.039457891,0.000458746
113,0.515151501,0.040943902,0.000451836
114,0.590909064,0.066958562,0.00044495
115,0.621212125,0.077205308,0.00043809
116,0.606060624,0.067784563,0.000431257
117,0.590909064,0.027538288,0.000424454
118,0.590909064,0.03132483,0.000417682
119,0.590909064,0.044545289,0.000410942
120,0.621212125,0.065162823,0.000404237
121,0.621212125,0.099114574,0.000397568
122,0.636363626,0.040242966,0.000390936
123,0.651515126,0.077026904,0.000384344
124,0.636363626,0.063774079,0.000377792
125,0.651515126,0.050371375,0.000371283
126,0.636363626,0.083641514,0.000364819
127,0.636363626,0.041254211,0.000358399
128,0.666666687,0.056186065,0.000352027
129,0.651515126,0.042937726,0.000345704
130,0.621212125,0.059379611,0.000339432
131,0.621212125,0.038986996,0.000333211
132,0.636363626,0.028883189,0.000327044
133,0.606060624,0.036767125,0.000320931
134,0.651515126,0.033081517,0.000314876
135,0.651515126,0.036147866,0.000308878
136,0.606060624,0.015673328,0.00030294
137,0.651515126,0.035262614,0.000297062
138,0.606060624,0.027789971,0.000291248
139,0.621212125,0.051936522,0.000285497
140,0.636363626,0.019753521,0.000279811
141,0.606060624,0.04158169,0.000274192
142,0.606060624,0.030510303,0.000268641
143,0.606060624,0.050683647,0.000263159
144,0.606060624,0.029397683,0.000257748
145,0.606060624,0.02867787,0.00025241
146,0.575757563,0.01698021,0.000247144
147,0.590909064,0.036380325,0.000241954
148,0.606060624,0.037705321,0.000236839
149,0.636363626,0.030985419,0.000231802
150,0.621212125,0.037165578,0.000226843
151,0.621212125,0.034108493,0.000221964
152,0.606060624,0.030886725,0.000217166
153,0.621212125,0.044858735,0.00021245
154,0.621212125,0.027460631,0.000207817
155,0.621212125,0.019758672,0.000203269
156,0.651515126,0.033180606,0.000198806
157,0.636363626,0.026831314,0.00019443
158,0.621212125,0.033227652,0.000190142
159,0.621212125,0.045474183,0.000185942
160,0.621212125,0.014680257,0.000181833
161,0.621212125,0.014955663,0.000177814
162,0.621212125,0.03857252,0.000173887
163,0.636363626,0.031617917,0.000170052
164,0.621212125,0.043824546,0.000166312
165,0.636363626,0.022744216,0.000162666
166,0.621212125,0.042238045,0.000159116
167,0.636363626,0.053188656,0.000155662
168,0.606060624,0.04763234,0.000152305
169,0.606060624,0.027655998,0.000149047
170,0.621212125,0.030349119,0.000145888
171,0.606060624,0.052560795,0.000142828
172,0.651515126,0.020035328,0.000139869
173,0.575757563,0.038044568,0.00013701
174,0.621212125,0.025961902,0.000134254
175,0.621212125,0.023405094,0.000131601
176,0.621212125,0.029341312,0.00012905
177,0.651515126,0.030355295,0.000126604
178,0.636363626,0.023722157,0.000124262
179,0.636363626,0.027271088,0.000122025
180,0.636363626,0.026602747,0.000119893
181,0.606060624,0.020993002,0.000117868
182,0.636363626,0.041998241,0.000115949
183,0.651515126,0.045890283,0.000114138
184,0.651515126,0.020223288,0.000112434
185,0.621212125,0.04526338,0.000110837
186,0.621212125,0.03373608,0.00010935
187,0.606060624,0.073184557,0.000107971
188,0.636363626,0.05350716,0.000106701
189,0.636363626,0.031190209,0.00010554
190,0.621212125,0.060160667,0.000104489
191,0.621212125,0.021525858,0.000103548
192,0.636363626,0.029141247,0.000102718
193,0.606060624,0.018507678,0.000101997
194,0.621212125,0.036548246,0.000101387
195,0.590909064,0.040249798,0.000100888
196,0.606060624,0.037441526,0.0001005
197,0.606060624,0.019327205,0.000100222
198,0.606060624,0.022821613,0.000100056
199,0.606060624,0.034636974,1.00E-04
